
2024/11/01 (20:29:37) | ===> btop++ v.1.4.0
2024/11/01 (20:29:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (20:29:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/01 (20:29:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (19:40:53) | ===> btop++ v.1.4.0
2024/11/03 (19:40:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (19:40:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/03 (19:40:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (23:41:14) | ===> btop++ v.1.4.0
2025/04/18 (23:41:14) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (00:17:05) | ===> btop++ v.1.4.0
2025/04/19 (00:17:05) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (00:33:11) | ===> btop++ v.1.4.0
2025/04/19 (00:33:11) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (00:34:10) | ===> btop++ v.1.4.0
2025/04/19 (00:34:10) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (00:35:18) | ===> btop++ v.1.4.0
2025/04/19 (00:35:18) | WARNING: Failed to join _runner thread on exit!
